produto_id;unidade_normalizada;fator_conversao;especificacao_chave;tipo_preco;minimo;media;mediana;maximo;n_observacoes;n_contratacoes;aviso
P06;Caixa 50 UN;;generico;homologado;26.0;36.16615384615385;32.58;61.0;13;6;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Caixa 50,00 UN;;generico;homologado;16.0;32.233636363636364;35.4;39.99;11;6;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Cx 50 Un.;;generico;homologado;25.51;37.35;33.5;47.9;7;5;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Cx 50 Unds;;generico;homologado;21.77;21.91333333333333;21.77;22.2;3;1;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;unidade;1.0;generico;homologado;0.49;830.1613333333333;1.0;12433.3;15;10;
P08;unidade;1.0;generico;homologado;1.5;1.5;1.5;1.5;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P10;Caixa 6,00 UN;;generico;homologado;4.0;4.0;4.0;4.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P15;unidade;1.0;generico;homologado;0.85;1.491666666666667;1.62;1.62;6;2;
P19;UNID.;;generico;homologado;5.89;6.945;6.945;8.0;2;2;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P19;unidade;1.0;generico;homologado;3.0;16.075;5.465;92.25;8;8;
P21;unidade;1.0;generico;homologado;83.0;83.0;83.0;83.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
